time_s,v_mps,a_mps2,P_meas_W,CdA,Crr,eta,P_aux_W,mass_kg,style,source
0,0.0,0.04048578471496871,694.3393849142743,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
1,0.04048578471496871,0.1111373302511079,881.2544213085051,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
2,0.2222746605022158,0.3885848979520534,1425.1785274135218,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
3,0.8176555806190755,0.7712414452751599,2555.5855461129445,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
4,1.7647575510525357,1.0487098093682352,4399.442578857393,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
5,2.9150751993555457,1.1491467690567236,6765.169495298352,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
6,4.063051089165983,1.1225695011033066,9157.506488194806,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
7,5.160214201562159,1.1367525466985073,11074.647894609569,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
8,6.3365561825629975,0.9956174151496029,12313.38289640988,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
9,7.151449031861365,0.8332299283956903,12863.078036245992,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
10,8.003016039354378,0.6990973532051123,12732.224442406861,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
11,8.54964373827159,0.6621381737923562,12206.582785126397,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
12,9.32729238693909,0.562290060391029,11535.580809515634,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
13,9.674223859053647,0.3564279184820922,10802.434881431667,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
14,10.040148223903275,0.40752360774236607,10040.992987004824,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
15,10.48927107453838,0.3582011161790559,9566.619217740501,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
16,10.756550456261387,0.22642569777806631,9291.3694721538,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
17,10.942122470094512,0.29628079940047414,9133.095099013633,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
18,11.349112055062335,0.3561531832810161,8924.70260856582,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
19,11.654428836656544,0.21302361475669063,8731.277239049512,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
20,11.775159284575716,0.22483835332434943,8461.42682304419,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
21,12.104105543305243,0.21074224828533605,8016.717776477669,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
22,12.196643781146388,0.14679664217597388,7715.925829454697,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
23,12.397698827657191,0.1918239840762075,7536.716024654263,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
24,12.580291749298803,0.09951615026660132,7112.623980668718,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
25,12.596731128190394,0.19995898706461368,6345.77974220008,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
26,12.98020972342803,0.1432764691017372,5336.152843260974,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
27,12.883284066393868,-0.11309860634569979,3990.655132992268,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
28,12.754012510736631,-0.039097110762591036,2564.838898412682,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
29,12.805089844868686,-0.10210061508307877,1792.903182786078,0.6752270773308121,0.010357223491135732,0.8723985424863001,630.6991170680599,1576.8726795858204,epa_hwy,real_aug
