cycle_id,base_cycle,variant_idx,time_s,v_mps,a_mps2,P_meas_W,CdA,Crr,eta,P_aux_W,mass_kg
395,highway,0,0.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,1.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,2.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,3.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,4.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,5.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,6.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,7.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,8.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,9.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,10.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,11.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,12.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,13.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,14.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,15.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,16.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,17.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,18.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
395,highway,0,19.0,0.0,,,1.1033613467690744,0.009906824178516635,0.9473446548199103,73.29202419949222,1374.504191036048
